27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 7.704 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
1000000 simulated events
205901 hits
total efficiency: 0.2059(5)

Strip	CMtheta	hits	Eff	delEff
0	167.763	4301	0.004301	6.558200972827837E-5
1	165.147	5362	0.005362	7.322567855609124E-5
2	162.485	6817	0.006817	8.256512580987206E-5
3	159.673	8112	0.008112	9.006664199358162E-5
4	156.755	9427	0.009427	9.709273917240156E-5
5	153.728	10925	0.010925	1.0452272480183435E-4
6	150.649	12298	0.012298	1.1089634800118531E-4
7	147.547	13369	0.013369	1.1562439189029278E-4
8	144.42	14578	0.014578	1.207393887677091E-4
9	141.255	15914	0.015914	1.2615070352558482E-4
10	138.151	16659	0.016659	1.2906974858579372E-4
11	135.087	17356	0.017356	1.3174217244299563E-4
12	132.093	17502	0.017502	1.3229512462672235E-4
13	129.199	17811	0.017811	1.3345785851721136E-4
14	126.395	17906	0.017906	1.3381330277666717E-4
15	123.688	17564	0.017564	1.3252924205623453E-4
