27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.557 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
1000000 simulated events
243909 hits
total efficiency: 0.2439(5)

Strip	CMtheta	hits	Eff	delEff
0	166.202	5482	0.005482	7.404052944165107E-5
1	163.33	6859	0.006859	8.28190799272728E-5
2	160.296	8495	0.008495	9.216832427683602E-5
3	157.141	10003	0.010003	1.0001499887516872E-4
4	153.861	11793	0.011793	1.0859558002055149E-4
5	150.527	13699	0.013699	1.1704272724095248E-4
6	147.134	14974	0.014974	1.2236829654775782E-4
7	143.707	16390	0.01639	1.2802343535462562E-4
8	140.27	17784	0.017784	1.3335666462535722E-4
9	136.873	19044	0.019044	1.38E-4
10	133.506	19562	0.019562	1.3986421987055873E-4
11	130.222	20034	0.020034	1.415415133450254E-4
12	127.042	20280	0.02028	1.4240786495134318E-4
13	123.943	20165	0.020165	1.4200352108310554E-4
14	121.006	19827	0.019827	1.40808380432416E-4
15	118.205	19518	0.019518	1.3970683591005845E-4
