27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.0319 MeV
Ex(final 26Al) = 0.228 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
1000000 simulated events
215748 hits
total efficiency: 0.2157(5)

Strip	CMtheta	hits	Eff	delEff
0	167.348	4531	0.004531	6.731270311018568E-5
1	164.694	5828	0.005828	7.634133873596925E-5
2	161.937	7023	0.007023	8.380334122217324E-5
3	158.967	8754	0.008754	9.356281312572854E-5
4	155.979	10208	0.010208	1.0103464752252072E-4
5	152.877	11480	0.01148	1.07144761887831E-4
6	149.706	13120	0.01312	1.1454256850621083E-4
7	146.51	14262	0.014262	1.1942361575500886E-4
8	143.292	15499	0.015499	1.2449497981846497E-4
9	140.083	16418	0.016418	1.281327436684316E-4
10	136.884	17512	0.017512	1.3233291351738615E-4
11	133.78	18246	0.018246	1.3507775538555561E-4
12	130.733	18032	0.018032	1.3428328265275617E-4
13	127.791	18518	0.018518	1.3608085831592922E-4
14	124.939	18283	0.018283	1.3521464417732274E-4
15	122.208	18034	0.018034	1.3429072938963435E-4
