27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.864 MeV
Ex(final 26Al) = 0.417 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
1000000 simulated events
240002 hits
total efficiency: 0.2400(5)

Strip	CMtheta	hits	Eff	delEff
0	166.401	5291	0.005291	7.273926037567333E-5
1	163.51	6650	0.00665	8.154753215150045E-5
2	160.504	8296	0.008296	9.108238029388561E-5
3	157.338	9986	0.009986	9.992997548283498E-5
4	154.142	11578	0.011578	1.0760111523585616E-4
5	150.819	13235	0.013235	1.1504347004502255E-4
6	147.443	14560	0.01456	1.2066482503198686E-4
7	144.049	16180	0.01618	1.2720062892926276E-4
8	140.639	17373	0.017373	1.318066766138954E-4
9	137.25	18538	0.018538	1.3615432420602732E-4
10	133.916	19330	0.01933	1.3903237033151668E-4
11	130.668	19951	0.019951	1.4124800883552304E-4
12	127.471	19829	0.019829	1.4081548210335396E-4
13	124.425	19796	0.019796	1.4069825869569247E-4
14	121.484	19892	0.019892	1.4103900169811187E-4
15	118.682	19517	0.019517	1.3970325694127536E-4
