12C(3He,2H)13N(1H)12C
Ex(residual 13N) = 2.365 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 2H) = 3.0 degrees
Target Thickness = 20.0 ug/cm^2
l = 0 decay
1000000 simulated events
169702 hits
total efficiency: 0.1697(4)

Strip	CMtheta	hits	Eff	delEff
0	169.357	3238	0.003238	5.690342696182718E-5
1	167.152	4118	0.004118	6.417164482853778E-5
2	164.847	5130	0.00513	7.162401831787993E-5
3	162.376	6124	0.006124	7.82559901860554E-5
4	159.819	7368	0.007368	8.583705493549974E-5
5	157.154	8425	0.008425	9.17877987534291E-5
6	154.403	9786	0.009786	9.892421341612984E-5
7	151.626	10878	0.010878	1.0429765098025937E-4
8	148.779	11960	0.01196	1.0936178491593853E-4
9	145.967	12979	0.012979	1.139254141971843E-4
10	143.131	13725	0.013725	1.1715374513859981E-4
11	140.294	14459	0.014459	1.2024558203942463E-4
12	137.54	15104	0.015104	1.2289833196589772E-4
13	134.822	15483	0.015483	1.2443070360646522E-4
14	132.178	15425	0.015425	1.241974234837422E-4
15	129.625	15500	0.0155	1.2449899597988734E-4
