27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.162 MeV
Ex(final 26Al) = 0.228 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 170.0 ug/cm^2
l = 0 decay
100000 simulated events
22628 hits
total efficiency: 0.2263(15)

Strip	CMtheta	hits	Eff	delEff
0	167.112	496	0.00496	2.2271057451320086E-4
1	164.256	662	0.00662	2.572936066053721E-4
2	161.338	736	0.00736	2.7129319932501074E-4
3	158.379	910	0.0091	3.016620625799671E-4
4	155.284	1129	0.01129	3.360059523282288E-4
5	152.057	1221	0.01221	3.494281041931229E-4
6	148.84	1360	0.0136	3.6878177829171546E-4
7	145.57	1504	0.01504	3.8781438859330635E-4
8	142.236	1662	0.01662	4.0767634221279016E-4
9	138.96	1799	0.01799	4.241462012089699E-4
10	135.747	1823	0.01823	4.269660408041839E-4
11	132.55	1826	0.01826	4.2731721238442995E-4
12	129.49	1847	0.01847	4.29767378938886E-4
13	126.541	1922	0.01922	4.3840620433565947E-4
14	123.638	1889	0.01889	4.346262762420146E-4
15	120.842	1842	0.01842	4.291852746774987E-4
