12C(3He,2H)13N(1H)12C
Ex(residual 13N) = 3.502 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 2H) = 3.0 degrees
Target Thickness = 170.0 ug/cm^2
l = 0 decay
1000000 simulated events
217993 hits
total efficiency: 0.2180(5)

Strip	CMtheta	hits	Eff	delEff
0	167.349	4701	0.004701	6.85638388656878E-5
1	164.661	5912	0.005912	7.688953114696434E-5
2	161.848	7215	0.007215	8.494115610232768E-5
3	158.927	8725	0.008725	9.340770846134702E-5
4	155.878	10036	0.010036	1.0017983829094555E-4
5	152.788	11850	0.01185	1.088577052853862E-4
6	149.603	13027	0.013027	1.1413588392788658E-4
7	146.404	14644	0.014644	1.2101239605924676E-4
8	143.163	15701	0.015701	1.253036312322991E-4
9	139.932	16754	0.016754	1.2943724348115577E-4
10	136.759	17675	0.017675	1.329473580030833E-4
11	133.624	18084	0.018084	1.3447676379211394E-4
12	130.562	18357	0.018357	1.354880068493149E-4
13	127.612	18673	0.018673	1.3664918587390118E-4
14	124.774	18557	0.018557	1.3622408010333562E-4
15	122.039	18082	0.018082	1.3446932735757994E-4
