27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.486 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 170.0 ug/cm^2
l = 0 decay
1000000 simulated events
242695 hits
total efficiency: 0.2427(5)

Strip	CMtheta	hits	Eff	delEff
0	166.296	5452	0.005452	7.383765976789893E-5
1	163.397	6821	0.006821	8.258934555982388E-5
2	160.348	8483	0.008483	9.210320298447823E-5
3	157.212	9907	0.009907	9.95339138183564E-5
4	153.96	11796	0.011796	1.0860939185908372E-4
5	150.625	13375	0.013375	1.1565033506220378E-4
6	147.222	15159	0.015159	1.231218908236874E-4
7	143.82	16286	0.016286	1.2761661333854618E-4
8	140.381	17662	0.017662	1.3289845747788048E-4
9	136.996	18756	0.018756	1.369525465261599E-4
10	133.635	19389	0.019389	1.3924438947404667E-4
11	130.357	19840	0.01984	1.4085453489327208E-4
12	127.179	20286	0.020286	1.4242892964563063E-4
13	124.109	20135	0.020135	1.4189785058273436E-4
14	121.145	19957	0.019957	1.412692464763651E-4
15	118.349	19391	0.019391	1.3925157090675854E-4
