12C(3He,2H)13N(1H)12C
Ex(residual 13N) = 3.502 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 2H) = 3.0 degrees
Target Thickness = 170.0 ug/cm^2
l = 0 decay
1000000 simulated events
217548 hits
total efficiency: 0.2175(5)

Strip	CMtheta	hits	Eff	delEff
0	167.31	4590	0.00459	6.774953874381728E-5
1	164.662	5790	0.00579	7.60920495189872E-5
2	161.866	7371	0.007371	8.585452812752512E-5
3	158.909	8667	0.008667	9.30967238950974E-5
4	155.901	10315	0.010315	1.0156278846112881E-4
5	152.804	11728	0.011728	1.0829589096544707E-4
6	149.626	13147	0.013147	1.1466036804406307E-4
7	146.407	14584	0.014584	1.2076423311560422E-4
8	143.162	15642	0.015642	1.2506798151405498E-4
9	139.966	16604	0.016604	1.288565093427569E-4
10	136.761	17444	0.017444	1.3207573584879246E-4
11	133.641	18079	0.018079	1.3445817193462063E-4
12	130.581	18294	0.018294	1.352553141285029E-4
13	127.649	18642	0.018642	1.3653570961473779E-4
14	124.79	18448	0.018448	1.3582341477079717E-4
15	122.064	18203	0.018203	1.3491849391391827E-4
