27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.324 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 170.0 ug/cm^2
l = 0 decay
1000000 simulated events
238630 hits
total efficiency: 0.2386(5)

Strip	CMtheta	hits	Eff	delEff
0	166.405	5206	0.005206	7.215261603018979E-5
1	163.514	6841	0.006841	8.271033792700887E-5
2	160.52	8325	0.008325	9.12414379544733E-5
3	157.407	9812	0.009812	9.905553997631834E-5
4	154.164	11484	0.011484	1.0716342659695052E-4
5	150.866	13177	0.013177	1.1479111463872106E-4
6	147.512	14535	0.014535	1.2056118778446071E-4
7	144.106	15932	0.015932	1.2622202660391728E-4
8	140.702	17393	0.017393	1.3188252348207477E-4
9	137.334	18395	0.018395	1.356281681657612E-4
10	134.011	19176	0.019176	1.3847743498491007E-4
11	130.731	19630	0.01963	1.4010710188994705E-4
12	127.563	19810	0.01981	1.407480017620144E-4
13	124.521	19845	0.019845	1.4087228258248674E-4
14	121.564	19780	0.01978	1.406413879339933E-4
15	118.776	19289	0.019289	1.3888484438555562E-4
