19F(1H,4He)16O(4He)12C
Ex(residual 16O) = 10.356 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 4He) = 15.0 degrees
Target Thickness = 120.0 ug/cm^2
l = 4 decay
1000000 simulated events
286039 hits
total efficiency: 0.2860(5)

Strip	CMtheta	hits	Eff	delEff
0	164.612	27759	0.027759	1.6661032380978078E-4
1	161.857	20286	0.020286	1.4242892964563063E-4
2	158.922	11207	0.011207	1.058631191681031E-4
3	152.995	5485	0.005485	7.40607858451421E-5
4	142.756	6346	0.006346	7.966178506661773E-5
5	139.147	14521	0.014521	1.2050311199301037E-4
6	136.455	26765	0.026765	1.636001222493431E-4
7	133.226	37911	0.037911	1.9470747289202848E-4
8	129.686	41491	0.041491	2.0369339704565782E-4
9	126.141	36728	0.036728	1.9164550607827984E-4
10	122.611	26114	0.026114	1.615982673174437E-4
11	119.254	14084	0.014084	1.1867602959317437E-4
12	116.229	4991	0.004991	7.064700984472024E-5
13	110.689	1381	0.001381	3.716180835212409E-5
14	104.684	2995	0.002995	5.472659317004851E-5
15	102.49	7975	0.007975	8.930285549745877E-5
