12C(3He,2H)13N(1H)12C
Ex(residual 13N) = 3.547 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 2H) = 3.0 degrees
Target Thickness = 20.0 ug/cm^2
l = 2 decay
1000000 simulated events
258815 hits
total efficiency: 0.2588(5)

Strip	CMtheta	hits	Eff	delEff
0	168.075	18903	0.018903	1.3748818131024935E-4
1	165.532	22655	0.022655	1.5051577990363667E-4
2	162.874	25642	0.025642	1.6013119621110684E-4
3	160.091	28017	0.028017	1.6738279481475984E-4
4	157.202	28913	0.028913	1.7003823099526763E-4
5	154.239	28724	0.028724	1.6948156241904309E-4
6	151.193	26321	0.026321	1.622374802565671E-4
7	148.1	23417	0.023417	1.530261415575783E-4
8	144.99	19467	0.019467	1.3952419145080183E-4
9	141.89	14934	0.014934	1.2220474622534104E-4
10	138.811	10391	0.010391	1.0193625459079808E-4
11	135.793	6457	0.006457	8.035546029984521E-5
12	132.884	3340	0.00334	5.779273310719956E-5
13	130.105	1317	0.001317	3.629049462324811E-5
14	127.807	209	2.09E-4	1.445683229480096E-5
15	123.429	108	1.08E-4	1.0392304845413264E-5
