19F(1H,4He)16O(4He)12C
Ex(residual 16O) = 12.049 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 4He) = 15.0 degrees
Target Thickness = 120.0 ug/cm^2
l = 0 decay
1000000 simulated events
295682 hits
total efficiency: 0.2957(5)

Strip	CMtheta	hits	Eff	delEff
0	162.602	8170	0.00817	9.038805230781334E-5
1	159.15	9988	0.009988	9.993998198919189E-5
2	155.47	12022	0.012022	1.0964488132147346E-4
3	151.724	14206	0.014206	1.191889256600629E-4
4	147.917	16074	0.016074	1.2678327965469263E-4
5	144.07	18057	0.018057	1.343763372026489E-4
6	140.189	19521	0.019521	1.3971757226634022E-4
7	136.323	21017	0.021017	1.4497241116847025E-4
8	132.514	21811	0.021811	1.4768547660484426E-4
9	128.761	22608	0.022608	1.5035956903370002E-4
10	125.186	22836	0.022836	1.511158495989087E-4
11	121.683	22897	0.022897	1.513175469005495E-4
12	118.319	22581	0.022581	1.5026975743641832E-4
13	115.089	22123	0.022123	1.4873802472804322E-4
14	112.053	21186	0.021186	1.4555411364849843E-4
15	109.146	20585	0.020585	1.4347473645210155E-4
