19F(1H,4He)16O(4He)12C
Ex(residual 16O) = 11.52 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 4He) = 15.0 degrees
Target Thickness = 120.0 ug/cm^2
l = 2 decay
1000000 simulated events
286877 hits
total efficiency: 0.2869(5)

Strip	CMtheta	hits	Eff	delEff
0	163.441	31618	0.031618	1.7781451009408653E-4
1	160.064	35460	0.03546	1.883082579177026E-4
2	156.495	36484	0.036484	1.9100785324169267E-4
3	152.788	34773	0.034773	1.8647519942340858E-4
4	148.946	30538	0.030538	1.747512517837855E-4
5	144.999	24685	0.024685	1.5711460785044782E-4
6	141.063	16604	0.016604	1.288565093427569E-4
7	137.174	9475	0.009475	9.733961166965892E-5
8	133.542	3962	0.003962	6.294441992742486E-5
9	129.806	973	9.73E-4	3.119294792096444E-5
10	120.508	930	9.3E-4	3.049590136395381E-5
11	117.524	3474	0.003474	5.89406481131655E-5
12	114.324	7398	0.007398	8.601162712098871E-5
13	111.024	12548	0.012548	1.1201785571952357E-4
14	107.702	17074	0.017074	1.3066751700403586E-4
15	104.527	20881	0.020881	1.4450259513240583E-4
