19F(1H,4He)16O(4He)12C
Ex(residual 16O) = 11.52 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 4He) = 15.0 degrees
Target Thickness = 120.0 ug/cm^2
l = 2 decay
1000000 simulated events
261301 hits
total efficiency: 0.2613(5)

Strip	CMtheta	hits	Eff	delEff
0	163.011	31194	0.031194	1.766182323544203E-4
1	159.624	34401	0.034401	1.8547506570965275E-4
2	156.071	34785	0.034785	1.8650737250843462E-4
3	152.367	32812	0.032812	1.811408291909916E-4
4	148.573	28318	0.028318	1.6827952935517736E-4
5	144.748	22761	0.022761	1.5086749152816187E-4
6	140.911	15229	0.015229	1.2340583454602136E-4
7	137.171	8789	0.008789	9.374966666607408E-5
8	133.677	3834	0.003834	6.191930232165088E-5
9	130.225	1027	0.001027	3.2046840717924136E-5
10	121.324	656	6.56E-4	2.5612496949731394E-5
11	118.145	2430	0.00243	4.929503017546495E-5
12	115.339	5558	0.005558	7.455199527846321E-5
13	112.236	9437	0.009437	9.714422267947797E-5
14	109.181	13380	0.01338	1.1567194992737004E-4
15	106.205	16690	0.01669	1.2918978287774927E-4
