19F(1H,4He)16O(4He)12C
Ex(residual 16O) = 10.356 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 4He) = 15.0 degrees
Target Thickness = 120.0 ug/cm^2
l = 4 decay
1000000 simulated events
276922 hits
total efficiency: 0.2769(5)

Strip	CMtheta	hits	Eff	delEff
0	163.939	25990	0.02599	1.6121414330014597E-4
1	161.08	17401	0.017401	1.3191285001848757E-4
2	157.536	8732	0.008732	9.344517108978933E-5
3	148.805	4928	0.004928	7.019971509913698E-5
4	140.794	8895	0.008895	9.431330765061736E-5
5	137.944	19961	0.019961	1.412834031300209E-4
6	134.89	32281	0.032281	1.7966914036639681E-4
7	131.381	40433	0.040433	2.010795862339089E-4
8	127.703	39284	0.039284	1.9820191724602464E-4
9	124.032	30452	0.030452	1.745050142546053E-4
10	120.478	18067	0.018067	1.3441354098453026E-4
11	117.288	7466	0.007466	8.64060183089118E-5
12	113.406	1869	0.001869	4.3231932642434574E-5
13	105.424	2168	0.002168	4.6561786907291264E-5
14	102.955	6607	0.006607	8.128345465099279E-5
15	100.479	12388	0.012388	1.1130139262381222E-4
