19F(1H,4He)16O(4He)12C
Ex(residual 16O) = 10.356 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 4He) = 15.0 degrees
Target Thickness = 120.0 ug/cm^2
l = 4 decay
1000000 simulated events
271770 hits
total efficiency: 0.2718(5)

Strip	CMtheta	hits	Eff	delEff
0	165.129	26612	0.026612	1.631318485152424E-4
1	162.513	20384	0.020384	1.42772546380598E-4
2	159.787	12403	0.012403	1.113687568396092E-4
3	155.572	6270	0.00627	7.918333157931662E-5
4	145.647	4702	0.004702	6.857113095173507E-5
5	140.199	9614	0.009614	9.805100713404222E-5
6	137.696	19671	0.019671	1.4025334220616633E-4
7	134.82	30163	0.030163	1.7367498380595865E-4
8	131.569	37279	0.037279	1.9307770456476842E-4
9	128.164	36663	0.036663	1.9147584704082133E-4
10	124.756	30319	0.030319	1.7412351937633237E-4
11	121.441	19921	0.019921	1.4114177269681716E-4
12	118.335	10025	0.010025	1.0012492197250392E-4
13	115.464	3200	0.0032	5.6568542494923805E-5
14	108.73	1253	0.001253	3.539774004085572E-5
15	104.278	3291	0.003291	5.736723803705387E-5
