12C(3He,2H)13N(1H)12C
Ex(residual 13N) = 2.3649 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 2H) = 3.0 degrees
Target Thickness = 20.0 ug/cm^2
l = 0 decay
1000000 simulated events
154829 hits
total efficiency: 0.1548(4)

Strip	CMtheta	hits	Eff	delEff
0	169.123	3226	0.003226	5.679788728465171E-5
1	166.927	4064	0.004064	6.37495098020369E-5
2	164.6	5029	0.005029	7.09154426059656E-5
3	162.158	5893	0.005893	7.676587783644502E-5
4	159.675	7049	0.007049	8.395832299420945E-5
5	157.05	7953	0.007953	8.917959407846618E-5
6	154.394	9113	0.009113	9.546203433826455E-5
7	151.732	10011	0.010011	1.0005498488331303E-4
8	149.022	10913	0.010913	1.0446530524533015E-4
9	146.352	11820	0.01182		1.0871982339941506E-4
10	143.673	12389	0.012389	1.1130588483993108E-4
11	141.002	12888	0.012888	1.13525327570547E-4
12	138.411	13471	0.013471	1.1606463716395274E-4
13	135.891	13633	0.013633	1.1676043850551436E-4
14	133.434	13661	0.013661	1.1688028062936879E-4
15	131.052	13716	0.013716	1.1711532777565881E-4
