12C(3He,2H)13N(1H)12C
Ex(residual 13N) = 2.3649 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 2H) = 3.0 degrees
Target Thickness = 20.0 ug/cm^2
l = 0 decay
1000000 simulated events
182973 hits
total efficiency: 0.1830(4)

Strip	CMtheta	hits	Eff	delEff
0	168.867	3598	0.003598	5.998333101787529E-5
1	166.533	4530	0.00453		6.730527468185537E-5
2	164.048	5763	0.005763	7.591442550661897E-5
3	161.442	6830	0.00683		8.264381404557754E-5
4	158.775	8096	0.008096	8.997777503361593E-5
5	155.923	9356	0.009356	9.672641831474998E-5
6	153.09	10735	0.010735	1.0360984509205678E-4
7	150.143	11950	0.01195		1.0931605554537723E-4
8	147.183	13070	0.01307		1.143241006962224E-4
9	144.242	14058	0.014058	1.1856643707221703E-4
10	141.275	14825	0.014825	1.2175795661885921E-4
11	138.373	15569	0.015569	1.2477579893553075E-4
12	135.54	16018	0.016018	1.265622376540491E-4
13	132.764	16153	0.016153	1.2709445306542688E-4
14	130.079	16143	0.016143	1.270551061547705E-4
15	127.509	16279	0.016279	1.2758918449461146E-4
