12C(3He,2H)13N(1H)12C
Ex(residual 13N) = 2.3649 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 2H) = 3.0 degrees
Target Thickness = 20.0 ug/cm^2
l = 0 decay
1000000 simulated events
169700 hits
total efficiency: 0.1697(4)

Strip	CMtheta	hits	Eff	delEff
0	169.357	3238	0.003238	5.690342696182718E-5
1	167.153	4117	0.004117	6.416385275215322E-5
2	164.849	5131	0.005131	7.16309988761849E-5
3	162.377	6125	0.006125	7.826237921249263E-5
4	159.822	7371	0.007371	8.585452812752512E-5
5	157.156	8424	0.008424	9.178235124467012E-5
6	154.404	9785	0.009785	9.891915891272023E-5
7	151.627	10873	0.010873	1.0427367836611501E-4
8	148.78	11958	0.011958	1.0935264057168442E-4
9	145.969	12981	0.012981	1.1393419153177855E-4
10	143.134	13723	0.013723	1.1714520903562382E-4
11	140.296	14462	0.014462	1.2025805586321442E-4
12	137.543	15103	0.015103	1.228942634950875E-4
13	134.823	15484	0.015484	1.2443472184241823E-4
14	132.18	15429	0.015429	1.24213525833542E-4
15	129.627	15496	0.015496	1.244829305567635E-4
