12C(3He,2H)13N(1H)12C
Ex(residual 13N) = 2.3649 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 2H) = 3.0 degrees
Target Thickness = 20.0 ug/cm^2
l = 0 decay
1000000 simulated events
186624 hits
total efficiency: 0.1866(4)

Strip	CMtheta	hits	Eff	delEff
0	169.628	3239	0.003239	5.691221310052878E-5
1	167.427	4129	0.004129	6.425729530566937E-5
2	165.133	5241	0.005241	7.239475119095305E-5
3	162.651	6400	0.0064		8.0E-5
4	160.039	7683	0.007683	8.76527238595584E-5
5	157.338	8852	0.008852	9.408506789071261E-5
6	154.497	10464	0.010464	1.0229369482035536E-4
7	151.618	11766	0.011766	1.0847119433287347E-4
8	148.633	13031	0.013031	1.1415340555585716E-4
9	145.679	14392	0.014392	1.1996666203575058E-4
10	142.644	15267	0.015267	1.2355970216862777E-4
11	139.652	16139	0.016139	1.2703936397825676E-4
12	136.698	17157	0.017157	1.3098473193468008E-4
13	133.779	17415	0.017415	1.319659046875366E-4
14	130.929	17611	0.017611	1.3270644294833617E-4
15	128.174	17838	0.017838	1.3355897573731238E-4
