12C(3He,2H)13N(1H)12C
Ex(residual 13N) = 2.3649 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 2H) = 3.0 degrees
Target Thickness = 20.0 ug/cm^2
l = 0 decay
1000000 simulated events
157554 hits
total efficiency: 0.1576(4)

Strip	CMtheta	hits	Eff	delEff
0	169.811	2918	0.002918	5.4018515344278024E-5
1	167.726	3722	0.003722	6.1008196170678574E-5
2	165.545	4625	0.004625	6.800735254367721E-5
3	163.189	5675	0.005675	7.533259586659682E-5
4	160.753	6623	0.006623	8.138181615078394E-5
5	158.259	7637	0.007637	8.738993077008358E-5
6	155.632	8712	0.008712	9.333809511662427E-5
7	153.012	10000	0.01	1.0E-4
8	150.303	10952	0.010952	1.0465180361560905E-4
9	147.549	11970	0.01197	1.0940749517286281E-4
10	144.845	12813	0.012813	1.1319452283569202E-4
11	142.105	13501	0.013501	1.1619380362136356E-4
12	139.412	14000	0.014	1.1832159566199231E-4
13	136.777	14731	0.014731	1.2137133104650373E-4
14	134.17	14844	0.014844	1.2183595528414426E-4
15	131.656	14831	0.014831	1.217825931732446E-4
