27Al(3He,2H)28Si(4He)24Mg
Ex(residual 28Si) = 14.434 MeV
Ex(final 24Mg) = 0.0 MeV
Theta(projectile 2H) = 3.0 degrees
Target Thickness = 20.0 ug/cm^2
l = 0 decay
10000000 simulated events
2428843 hits
total efficiency: 0.24288(16)

Strip	CMtheta	hits	Eff	delEff
0	166.251	54660	0.005466	2.3379478180660918E-5
1	163.357	68589	0.0068589	2.61895017134729E-5
2	160.317	84751	0.0084751	2.911202500685928E-5
3	157.163	100442	0.0100442	3.169258588376783E-5
4	153.905	117468	0.0117468	3.427360500443453E-5
5	150.57	133403	0.0133403	3.6524375422449047E-5
6	147.174	149680	0.014968	3.868849958320948E-5
7	143.751	164269	0.0164269	4.053011226236611E-5
8	140.316	176211	0.0176211	4.197749396998349E-5
9	136.912	186912	0.0186912	4.323332048316437E-5
10	133.558	195167	0.0195167	4.4177709311371046E-5
11	130.275	199268	0.0199268	4.4639444440987394E-5
12	127.085	201920	0.020192	4.4935509343947576E-5
13	124.019	202334	0.0202334	4.498155177403287E-5
14	121.07	198362	0.0198362	4.453784907244624E-5
15	118.246	195407	0.0195407	4.420486398576519E-5
