12C(3He,2H)13N(1H)12C
Ex(residual 13N) = 3.502 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 2H) = 3.0 degrees
Target Thickness = 20.0 ug/cm^2
l = 0 decay
10000000 simulated events
2172821 hits
total efficiency: 0.21728(15)

Strip	CMtheta	hits	Eff	delEff
0	167.322	46142	0.0046142	2.1480689001985017E-5
1	164.628	58943	0.0058943	2.427817950341417E-5
2	161.84	72141	0.0072141	2.685907667809897E-5
3	158.908	86844	0.0086844	2.9469306065803448E-5
4	155.888	101740	0.010174	3.189670829411712E-5
5	152.777	115993	0.0115993	3.405774508096507E-5
6	149.602	130985	0.0130985	3.619184991127146E-5
7	146.394	144303	0.0144303	3.798723469798769E-5
8	143.157	156502	0.0156502	3.956033366896695E-5
9	139.935	165921	0.0165921	4.073340152749338E-5
10	136.745	175087	0.0175087	4.1843398523542514E-5
11	133.624	181005	0.0181005	4.2544682393925564E-5
12	130.572	183853	0.0183853	4.287808297953629E-5
13	127.618	185792	0.0185792	4.310359613767742E-5
14	124.769	185010	0.018501	4.301278879589186E-5
15	122.039	182560	0.018256	4.272704061832507E-5
