27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 7.971 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
10000000 simulated events
2282725 hits
total efficiency: 0.22827(15)

Strip	CMtheta	hits	Eff	delEff
0	166.854	50124	0.0050124	2.2388389848312005E-5
1	164.087	63162	0.0063162	2.5132051249350896E-5
2	161.175	76993	0.0076993	2.7747612509907947E-5
3	158.146	92670	0.009267	3.0441747650225342E-5
4	155.022	108688	0.0108688	3.2967863139730484E-5
5	151.813	123907	0.0123907	3.520042613378423E-5
6	148.553	139192	0.0139192	3.7308444084416066E-5
7	145.24	152855	0.0152855	3.909667505044387E-5
8	141.929	165051	0.0165051	4.062646920420233E-5
9	138.621	174954	0.0174954	4.1827502913752815E-5
10	135.365	183502	0.0183502	4.283713342416834E-5
11	132.167	188811	0.0188811	4.345238773646392E-5
12	129.056	191645	0.0191645	4.377727721090018E-5
13	126.047	192355	0.0192355	4.385829454048572E-5
14	123.163	191161	0.0191161	4.37219624445198E-5
15	120.392	187655	0.0187655	4.331916435020417E-5
