27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.671 MeV
Ex(final 26Al) = 0.228 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
1000000 simulated events
239967 hits
total efficiency: 0.2400(5)

Strip	CMtheta	hits	Eff	delEff
0	166.353	5243	0.005243	7.240856302952021E-5
1	163.45	6885	0.006885	8.297590011563598E-5
2	160.444	8411	0.008411	9.171150418568E-5
3	157.318	9903	0.009903	9.951381813597546E-5
4	154.064	11531	0.011531	1.0738249391777042E-4
5	150.759	13278	0.013278	1.1523020437367974E-4
6	147.391	14623	0.014623	1.2092559695945272E-4
7	143.978	15963	0.015963	1.2634476641317597E-4
8	140.562	17582	0.017582	1.3259713420734248E-4
9	137.18	18463	0.018463	1.3587862230682204E-4
10	133.849	19287	0.019287	1.3887764398923247E-4
11	130.557	19754	0.019754	1.4054892386638896E-4
12	127.382	19931	0.019931	1.4117719362559945E-4
13	124.335	19901	0.019901	1.410709041581573E-4
14	121.377	19834	0.019834	1.408332347139694E-4
15	118.588	19378	0.019378	1.3920488497175666E-4
